hotel_id,label
1,business
1,pet_friendly
2,romantic
2,boutique
3,famous
3,family
3,romantic
5,famous
5,near_station
5,family
6,near_station
6,business
6,family
7,romantic
7,boutique
7,business
11,business
11,near_station
11,family
13,family
13,business
14,pet_friendly
14,romantic
14,business
16,pet_friendly
16,romantic
17,pet_friendly
17,family
17,near_station
18,family
18,boutique
18,famous
19,family
19,near_station
19,business
21,pet_friendly
22,business
22,boutique
23,near_station
25,family
25,romantic
25,famous
28,famous
28,family
28,boutique
29,business
29,romantic
30,business
30,romantic
32,boutique
32,pet_friendly
32,business
33,family
33,business
33,pet_friendly
34,famous
35,boutique
37,famous
38,family
39,pet_friendly
39,boutique
39,romantic
40,famous
40,pet_friendly
40,family
