review_id,hotel_id,user_id,rating,review_date,is_verified
1,22,27,4,2025-12-27,1
2,15,200,3,2025-02-06,1
3,13,571,4,2025-07-22,0
4,34,16,5,2024-09-08,1
5,19,792,3,2026-02-07,1
6,33,324,5,2025-04-02,1
7,39,319,3,2025-08-15,1
8,13,430,4,2025-05-16,1
9,9,512,4,2025-04-10,1
10,39,368,2,2025-03-26,1
11,26,708,4,2024-08-28,0
12,12,770,4,2025-01-15,0
13,25,161,3,2025-03-12,1
14,21,566,4,2025-03-06,1
15,37,241,4,2025-01-13,1
16,11,797,4,2025-07-31,0
17,40,203,3,2025-11-09,1
18,38,237,4,2025-12-13,0
19,8,572,3,2026-01-26,1
20,7,632,4,2025-08-04,0
21,22,103,3,2025-03-28,0
22,2,445,5,2025-08-02,1
23,12,277,3,2024-10-29,1
24,18,490,3,2025-11-03,1
25,39,446,3,2025-06-03,1
26,40,789,5,2024-11-16,0
27,7,747,2,2025-04-05,1
28,36,524,4,2025-01-28,1
29,4,544,4,2025-02-23,0
30,30,720,4,2024-09-15,0
31,34,147,5,2024-08-27,1
32,36,581,5,2025-02-23,0
33,9,618,3,2025-01-28,1
34,36,102,4,2026-02-09,1
35,5,706,2,2025-01-07,1
36,21,560,4,2025-02-12,1
37,19,278,3,2025-12-26,1
38,13,388,3,2025-11-26,1
39,1,392,2,2024-09-18,1
40,31,736,4,2024-10-04,0
41,14,776,2,2024-10-09,1
42,27,646,4,2025-04-24,0
43,17,522,2,2025-06-24,1
44,15,84,3,2025-02-24,1
45,36,732,5,2024-08-26,1
46,4,108,4,2024-12-05,1
47,30,134,4,2025-07-16,1
48,30,56,5,2025-03-08,0
49,16,759,3,2024-10-24,1
50,11,395,5,2025-08-05,1
51,1,189,3,2025-07-16,0
52,38,65,4,2025-05-10,0
53,38,330,3,2026-01-08,1
54,10,579,3,2025-11-17,0
55,2,796,4,2024-09-09,1
56,5,442,5,2025-12-20,1
57,3,486,5,2024-09-14,0
58,34,669,4,2025-05-06,1
59,36,722,4,2025-12-18,0
60,7,224,4,2026-01-31,1
61,30,794,4,2024-08-31,0
62,8,416,4,2024-09-26,0
63,15,745,4,2024-12-27,1
64,24,94,4,2025-01-15,1
65,29,78,2,2025-01-16,1
66,35,708,4,2025-04-01,0
67,2,539,2,2025-02-07,1
68,8,141,4,2025-06-29,0
69,12,716,5,2025-11-23,1
70,13,82,3,2025-06-09,1
71,40,546,4,2025-02-14,0
72,32,165,4,2025-06-21,0
73,13,57,2,2025-07-20,1
74,39,645,3,2025-12-15,1
75,20,678,4,2026-01-12,0
76,21,85,1,2025-01-15,0
77,18,75,3,2025-12-27,1
78,6,492,4,2025-11-03,1
79,38,23,5,2024-10-27,1
80,1,597,4,2025-06-16,1
81,7,733,4,2024-11-09,1
82,10,601,4,2025-05-10,1
83,12,185,4,2024-09-12,0
84,6,153,3,2025-01-27,1
85,1,545,4,2025-07-02,0
86,28,50,3,2025-01-30,1
87,39,431,4,2024-08-24,1
88,5,360,5,2025-03-16,1
89,12,596,5,2025-06-07,1
90,21,162,3,2025-10-05,1
91,38,610,3,2024-10-31,0
92,28,560,5,2025-05-03,0
93,31,191,4,2024-12-04,0
94,24,286,4,2024-11-10,0
95,17,53,3,2024-10-23,0
96,8,360,4,2025-10-03,1
97,35,209,3,2025-12-28,0
98,33,91,4,2025-08-12,1
99,2,448,5,2025-03-11,1
100,29,455,5,2026-01-13,0
101,4,69,4,2025-05-14,0
102,30,149,2,2025-05-31,1
103,34,67,4,2025-07-27,0
104,6,544,5,2025-08-07,1
105,18,271,3,2025-05-11,0
106,5,57,4,2025-05-04,0
107,23,154,5,2025-02-06,1
108,38,781,4,2025-08-21,0
109,4,205,5,2025-08-17,0
110,16,548,3,2025-04-11,0
111,39,375,2,2025-09-07,0
112,13,146,5,2024-11-01,1
113,6,246,2,2025-03-31,1
114,20,12,4,2026-02-02,1
115,21,598,4,2025-09-19,1
116,27,268,5,2025-09-11,1
117,13,400,4,2025-11-28,1
118,39,123,4,2025-07-13,1
119,21,660,3,2025-08-11,0
120,12,175,5,2025-05-05,0
121,39,454,5,2025-11-08,0
122,37,699,4,2025-09-07,1
123,20,571,4,2025-05-28,1
124,1,483,3,2024-10-26,1
125,24,711,3,2025-10-28,1
126,23,142,4,2025-02-11,1
127,6,771,3,2025-02-28,1
128,26,446,4,2024-10-25,0
129,34,328,5,2024-12-14,1
130,5,205,5,2024-10-26,0
131,29,596,4,2024-10-10,0
132,6,781,2,2024-08-30,0
133,30,553,5,2025-01-25,1
134,17,27,3,2025-10-01,1
135,1,376,2,2025-11-28,0
136,39,586,4,2024-12-19,1
137,7,318,5,2025-04-04,1
138,24,619,1,2025-11-11,0
139,8,566,3,2025-09-04,0
140,38,54,4,2025-12-20,0
141,30,447,4,2025-04-03,1
142,33,138,3,2024-11-18,1
143,18,390,3,2024-11-04,0
144,19,308,4,2025-09-05,1
145,26,646,3,2024-09-02,1
146,32,695,4,2025-04-24,1
147,34,370,3,2025-02-25,1
148,1,430,3,2025-12-28,1
149,27,501,4,2026-02-09,0
150,5,525,4,2025-05-07,1
151,12,509,5,2025-06-28,1
152,34,627,4,2025-03-11,0
153,11,786,3,2025-10-12,0
154,32,663,5,2025-01-25,1
155,19,108,2,2025-09-24,0
156,10,382,5,2025-12-19,1
157,14,370,5,2024-11-19,1
158,22,408,5,2024-12-19,1
159,31,423,3,2025-03-11,1
160,25,575,3,2025-11-08,0
161,38,337,3,2025-07-31,0
162,35,211,3,2024-12-01,1
163,31,367,2,2025-03-05,1
164,25,684,5,2025-08-01,0
165,12,250,5,2026-01-21,1
166,17,17,2,2025-04-19,1
167,5,782,5,2024-09-28,1
168,15,157,4,2024-10-14,1
169,38,483,5,2024-09-03,1
170,18,641,4,2024-10-26,1
